KEY,CHARACTER,English,Spanish,French,Italian,German,Russian,EnglishOrigin
C01-S00-Phrase04,Rise,[000000]好、好，我听你的……但你看上去不太……,"[000000]S-Si, te oigo... Pero tú no parece que estés...","[000000]Ou-Ouais, ouais… Mais tu n'as pas l'air…","[000000]S-Sì, ho capito... Ma secondo me tu non...",[000000]O-Okay ... Aber du bist ...,"[000000]Д-да, я понял... Но не похоже, что ты...","[000000]Y-Yeah, I hear you... But you don't seem..."
C01-S00-Phrase05,Tomox,[000000]走就对了，莱兹！！我还能再飞一会引开那家伙的注……,"[000000]¡Vete ya, Rise! Yo ya estoy muerto... Intentaré volver a volar por un momento y distraeré a esa cosa mientras tú...","[000000]Vite, va-t'en, Rise !! Je vais essayer de voler encore un peu pour distraire cette chose pendant que tu…","[000000]Vai e basta, Rise! Io proverò a volare ancora un po' per distrarre quell'affare mentre tu...","[000000]Geh, Rise! Ich versuche noch etwas durchzuhalten und das Ding abzulenken, während du ...","[000000]Уходи, Райз!! Я тут еще полетаю и отвлеку эту штуку, пока ты...","[000000]Just go, Rise!! I'll fly a little bit longer and distract that thing while you..."
C01-S01-LoadString,-,[FFFFFF]一小时前……,[FFFFFF]Una hora antes...,[FFFFFF]Une heure plus tard…,[FFFFFF]Un'ora prima...,[FFFFFF]Eine Stunde zuvor ...,[FFFFFF]Часом ранее...,[FFFFFF]One hour earlier...
C01-S01-Warrior_Phrase01,Legendary Warrior,[000000]你还好吧，孩子？,"[000000]¿Estás bien, chaval?","[000000]Tout va bien, petit ?","[000000]Tutto bene, ragazzo?","[000000]Alles klar bei dir, Kleiner?","[000000]С тобой все в порядке, пацан?","[000000]You alright, kid?"
C01-S01-Warrior_Phrase02,Rise,[000000]嗯，我没事。,"[000000]Sí, yo estoy bien.","[000000]Ouais, ça va.","[000000]Sì, sto bene.","[000000]Ja, alles klar.","[000000]Да, все нормально. ","[000000]Yeah, I'm fine. "
C01-S01-Warrior_Phrase03,Legendary Warrior,[000000]哈……你没事就好。我怕是要不行了。我已经失去了续命之力。你叫什么？,"[000000]Je... Me alegro, porque la verdad es que yo no lo estoy. Se me han acabado los respawns *COF*. ¿Cómo te llamas, eh?",[000000]Ah… Heureux de l'entendre. J'ai bien peur que ce ne soit pas le cas pour moi par contre. Je suis à court de respawns. C'est quoi ton nom ?,"[000000]Eh eh, lieto di sentirtelo. Io invece no, temo. Ho finito anche l'ultima vita. Come ti chiami, amico?","[000000]Hehe ... Freut mich zu hören. Bei mir leider nicht. Keine Extraleben mehr. Wie heißt du, Kleiner?","[000000]Ха... Рад слышать. Боюсь, что со мной все не так хорошо. Я больше не могу возрождаться. Как тебя зовут, малый?","[000000]Heh... Glad to hear it. Afraid I'm not, though. No more respawns for me. What's your name, man?"
C01-S01-Warrior_Phrase04,Rise,[000000]我叫莱兹。,[000000]Me llamo Rise.,[000000]Je m'appelle Rise.,[000000]Rise.,[000000]Rise.,[000000]Я Райз.,[000000]I'm Rise.
C01-S01-Warrior_Phrase05,Legendary Warrior,[000000]很好听的名字。让我们一起为我们的星球向造物主祈祷吧……,[000000]Un nombre apropiado para la tarea que se yergue frente a ti. Roguemos a los Creadores para que nuestro planeta pueda seguir de una pieza...,[000000]Un nom parfait pour le destin qui t'attend. Prions les Créateurs pour que la planète reste en un seul morceau…,"[000000]Come a dire ""Ascesa"", eh? Un nome adatto a quel che ti aspetta. Preghiamo i Creativi che il nostro pianeta resti tutto intero...","[000000]Passender Name für das, was du vor dir hast. Beten wir zu den Schöpfern, dass unser Planet in einem Stück bleibt ...","[000000]Весьма подходящее имя, учитывая, что тебя ждет впереди. Помолимся же Создателям за то, чтобы наша планета уцелела...",[000000]A fitting name for what lies ahead. Let's pray to the Creators that our planet stays in one piece...
C01-S01-Warrior_Phrase06,Rise,[000000]可我们与次世代星的太空兵人一向是井水不犯河水。他们现在为什么要摧毁我们的世界。,[000000]Pero estábamos en paz con los Soldados del Espacio del planeta NuevaGen. ¿Por qué se han puesto a destruir nuestro mundo?,[000000]Mais nous étions en paix avec les Grunts de la planète Nouvelgèn. Pourquoi est-ce qu'ils détruisent notre monde maintenant ?,[000000]Ma eravamo in pace con i Soldati spaziali del pianeta Newgen. Perché adesso distruggono il nostro mondo?,[000000]Aber wir hatten Frieden mit den Weltraumgrunzern von Newgen. Warum zerstören sie auf einmal unseren Planeten?,[000000]Но Космические Солдафоны с планеты Нексген были с нами в мирных отношениях. Почему они на нас напали?,[000000]But we were at peace with the Space Grunts from Nexgen planet. Why are they destroying our world now?
C01-S01-Warrior_Phrase07,Legendary Warrior,[000000]*咳咳*……谁知道呢……也许他们就是好战。听着：[FD852E]闪恩[-]现在归你了。它的神圣之力能拯救我们所有人。,[000000]*COF* Nadie lo sabe... Puede que simplemente les guste combatir. Pero escucha: ahora tienes que llevar a [FD852E]Shine[-]. Es la pistola sagrada que nos salvará a todos. Debes llevársela a nuestro Rey. Él sabrá qué debemos hacer.,[000000]*Tousse* Personne ne le sait…Peut-être qu'ils aiment juste beaucoup se battre. Mais écoute : tu es le Gardien de [FD852E]Shine[-] à présent. Shine est l'arme sacrée qui nous sauvera tous.,[000000]*Coff* Nessuno lo sa... Magari lo fanno solo per il gusto di combattere. Ma ascolta: ora dovrai portare tu [FD852E]Shine[-]. Shine è la pistola sacra che ci salverà tutti.,"[000000]*HUST* Keine Ahnung ... Sie kämpfen einfach gerne. Aber hör zu: Du bist jetzt der neue Träger von [FD852E]Shine[-]. Shine ist die heilige Waffe, die uns alle retten wird.","[000000]*кашляет* Никто не знает... Может, им просто нравится воевать. Но слушай меня: теперь ты хранитель [FD852E]Шайна[-]. Шайн — это священная пушка, которая нас всех спасет.",[000000]*Cough* Nobody knows...Maybe they just love to fight. But listen: You have to carry [FD852E]Shine[-] now. Shine's the sacred gun that will save us all.
C01-S01-Warrior_Phrase08,Rise,[000000]我、我不……我做不到……,[000000]Y-Yo no... No puedo...,[000000]Je-Je ne suis pas… Je ne peux pas…,[000000]I-Io non... Non posso...,[000000]A-Aber ich ... Ich kann nicht ...,[000000]Я н-не... Не могу...,[000000]I-I'm not... I can't...
C01-S01-Warrior_Phrase09,Legendary Warrior,[000000]朋友，看看周围。已经没有其它人了……为了全体游戏星人，你必须鼓起勇气。带上闪恩去找我们的国王，他知道该怎么办。,"[000000]Mira todo esto, hombre. No queda nadie con vida... Debes ser valiente por todo Mundojuego...","[000000]Regarde autour de toi, mon pote. Il n'y a plus aucun survivant…Tu dois être courageux pour tout Gamearth maintenant. Apporte juste Shine à notre roi, il saura quoi faire.","[000000]Guardati attorno, amico. Non è sopravvissuto nessuno. Dovrai dimostrarti coraggioso per tutta Gamearth. Porta Shine al nostro Re, lui saprà cosa fare.","[000000]Schau dich um, Junge. Hier ist niemand mehr am Leben ... Ganz Gamearth zählt jetzt auf dich. Bring Shine einfach zu unserem König, er wird wissen, was zu tun ist.","[000000]Оглянись по сторонам, малый. Никого не осталось в живых... От твоей отваги теперь зависит судьба всей Игроземли. Передай Шайна нашему Королю. Он знает, что с ним делать.","[000000]Look around, buddy. There's no one left...You have to be brave, for all of Gamearth. Just take Shine to our King and he'll know what to do."
C01-S01-Warrior_Phrase10,Legendary Warrior,[000000]闪恩能给你无限续命的能力，而且能让你变得比平时更加耐打。你能……*咳咳*……行的。指引者已经与你同在了。,"[000000]Shine te otorgará respawns infinitos y más resistencia de lo normal. Tranquilo, no te pasará *COF* nada. Los Guías están ya contigo.",[000000]Shine te donnera des respawns infinis et plus de résistance. Tout ira *tousse* bien. Les Guides sont avec toi maintenant.,[000000]Shine ti darà vite infinite e una resistenza più alta del normale. Te la *coff* caverai. Le Guide sono con te ora.,"[000000]Solange du Shine trägst, hast du unendlich viele Leben und hältst viel mehr aus als normal. Du ... *HUST* ... schaffst das schon! Mögen die Lenker mit dir sein.",[000000]Шайн даст тебе бесконечную способность к возрождению и повышенную живучесть. С тобой *кашляет* все будет в порядке. Проводники теперь с тобой.,[000000]Shine will give you infinite respawns and more resistance than normal. You'll be *cough* okay. The Guides are with you now.
C01-S01-Warrior_Phrase11,Rise,[000000]指引者？ 但、但……如果你是闪恩的持有者，为什么你现在不能续命。,"[000000]¿Los Guías? Pe-Pero... si tú eras el portador de Shine, ¿por qué no puedes hacer respawn?","[000000]Les Guides ? M-Mais… Si tu étais le Gardien de Shine, pourquoi est-ce que tu ne respawn pas, maintenant ?","[000000]Le Guide? M-Ma... Se tu eri il portatore di Shine, come mai hai finito le vite?","[000000]Lenker? A-Aber ... wenn du Shines Träger warst, wieso hast du dann keine Leben mehr?","[000000]Проводники? Н-но... если ты был хранителем Шайна, то почему ты сейчас не возрождаешься?","[000000]Guides? B-But... if you were Shine's carrier, why aren't you respawning now?"
C01-S01-Warrior_Phrase12,Legendary Warrior,[000000]呵……真是个机灵的小孩。那是……*咳咳*……那是……因、因为……,[000000]Je... Un chaval avispado. Es porque... *COF* porque...,[000000]Eheh… T'es un malin. C'est… *tousse* C'est… p-parce que…,[000000]Eh eh... Sei sveglio. Per... *coff* P-perché...,[000000]Hehe ... schlaues Kerlchen. Das ... *HUST* Das liegt ... d-daran ...,[000000]Хе... а ты сообразительный парень. Это... *кашляет* Это п-потому что...,[000000]Heh... smart kid. That's... *cough* That's... b-because...
C01-S01-Tutorial_Phrase01,Shine,[000000]我们走吧，小鬼。看来我和你都有大麻烦了。,"[000000]Muy bien, enano. Me da en la nariz que tenemos que lidiar con una movida bastante gorda.","[000000]Oh, non… Nous voilà dans un beau merdier, petit.","[000000]Oh, cacchio. Mi sa che io e te siamo finiti nella merda fino al collo, ragazzino.","[000000]Ach verdammt. Sieht aus, als stecken wir bis zum Hals in der Scheiße, Kleiner.","[000000]А, черт. Похоже, мы с тобой по уши в дерьме, пацан.","[000000]Here we go, kid. Looks like you and I are neck-deep in trouble right now."
C01-S01-Tutorial_Phrase02,Rise,[000000]什么……？,[000000]¿Cómo...?,[000000]Quoi… ?,[000000]Cosa...?,[000000]Was ...?,[000000]Что...?,[000000]What...?
C01-S01-Tutorial_Phrase03,Shine,[000000]别什么了，总之你要肩负起全职保姆的工作。,"[000000]Vale, esto es lo que me faltaba. Ahora curro de canguro a tiempo completo.","[000000]Mmm. Exactement ce qu'il me fallait… me voilà baby-sitter à plein temps, maintenant.","[000000]Eh già, proprio quel che mi serviva. Fare il babysitter a tempo pieno.","[000000]Ganz genau. Genau das habe ich gebraucht, ein Vollzeitjob als Babysitter.",[000000]Ага. Всю жизнь мечтал быть чьей-то нянькой на полную ставку.,[000000]Just what I needed-- a full-time babysitting gig.
C01-S01-Tutorial_Phrase04,Shine,[000000]虽然你比不上传奇战士，但我们还是要尽力完成使命。你只要带我去见国王就行了。,"[000000]Está muy claro que no eres el Guerrero Legendario, pero a ver lo que sale de esto. Mira, lo único que tienes que hacer es llevarme hasta el Rey.","[000000]Tu n'es pas un Guerrier légendaire, je le vois bien, mais on va essayer d'y arriver. Tout ce que tu dois faire, c'est m'apporter au roi.","[000000]Non sei un guerriero leggendario, questo lo vedo, ma vedremo di cavarcela. Tutto quel che devi fare è portarmi dal Re.","[000000]Du bist kein Legendärer Krieger, das sehe ich, aber wir tun unser Bestes. Du musst mich einfach nur zum König bringen.","[000000]По тебе видно, что ты не Легендарный Воин, но кое-какой толк из тебя выйдет. Тебе надо просто доставить меня Королю.","[000000]You're no Legendary Warrior, but we'll try to make it work. All you have to do is get me to the King."
C01-S01-Tutorial_Phrase05,Shine,[000000]要是看到你能用的东西我会再次大声提醒你的。请不要每走两步就去世一次，好吗？,"[000000]Si veo algo que podamos usar en nuestro beneficio ya te vuelvo a dar un toque. Tú intenta no diñarla cada dos pasos, no sé si me explico.","[000000]Je l'ouvrirai si je vois quelque chose qui puisse nous servir. Essaie juste de ne pas te faire tuer chaque fois que tu fais deux pas, d'accord ?","[000000]Mi farò sentire ancora se vedo qualcosa che possiamo sfruttare a nostro vantaggio. Cerca solo di non farti ammazzare ogni due passi, intesi?","[000000]Ich melde mich einfach, wenn ich was sehe, das wir gebrauchen können. Versuch einfach, nicht alle zwei Schritte zu sterben, okay?","[000000]Я дам тебе знать, если замечу что-нибудь полезное для нас. Постарайся не умирать через каждые два шага, договорились?","[000000]I'll pipe up again if I see something you can use. Just try not to get yourself killed every two steps, okay?"
C01-S02-MegaBadass_Phrase01,MegaBadass,[000000]别担心，孩子。我会把你平安送到宫殿的。你只要站着别动就行。,"[000000]Tranquilo, niño. Yo me encargaré de que llegues al palacio sano y salvo. Tú de momento quédate aquí y no te muevas.","[000000]T'inquiète pas, petit. Je te conduirai au palais sain et sauf. Reste ici pour l'instant.","[000000]Tranquillo, ragazzino. Ti porterò a palazzo sano e salvo, vedrai. Per ora resta qui e non ti muovere.","[000000]Mach dir keine Sorgen, Kleiner. Ich bring dich in einem Stück zum Palast. Bleib einfach hier stehen und rühr dich nicht.","[000000]Не волнуйся, пацан. Я доставлю тебя во дворец целым и невредимым. Просто оставайся на месте и никуда не уходи.","[000000]Don't worry, kid. I'll get you to the palace safe and sound. Just stay here and don't move for now."
C01-S02-MegaBadass_Phrase02,MegaBadass,[000000]我会继续往前走，用我的[FD852E]超原子激光[-]扫清附近的敌人。只要你能乖乖听我的话，之后我可以让你玩玩这把武器……,"[000000]Yo voy a masacrar a todos los enemigos con mi conocido [FD852E]Ataque con Láseres Mega-Atómicos y Guarnición Extra de Explosiones.[-] Mira, si te portas bien a lo mejor hasta te dejo que lo pruebes luego...","[000000]Je pars devant. Je vais anéantir tous les ennemis avec mon [FD852E]Attaque laser méga atomique[-]. Je te laisserai l'essayer plus tard, si tu es sage…","[000000]Ora vado e spazzo via i nemici col mio famoso [FD852E]Attacco laser mega-atomico[-]. Magari te lo faccio provare, dopo. Se fai il bravo.","[000000]Ich mache schnell alle Feinde mit meinem berühmten [FD852E]Mega-Atomaren-Laser-Angriff[-] platt. Wenn du dich benimmst, darfst du das nachher auch mal ausprobieren ...","[000000]Сейчас я уничтожу всех врагов при помощи своей коронной [FD852E]Атомной Лазерной Мегаатаки.[-] Если будешь хорошо себя вести, то я и тебе потом дам попробовать...","[000000]I'll just go ahead and wipe out all the enemies nearby with my signature [FD852E]Mega Atomic Laser Attack.[-] I'll even let you try it out later, if you behave..."
C01-S02-MegaBadass_Phrase03,Rise,[000000]那我就在这等你。,[000000]Pues entonces me espero aquí.,[000000]Je vais juste attendre ici alors.,"[000000]Va bene, allora aspetto qui.",[000000]Dann warte ich hier.,"[000000]Ладно, а я тогда подожду здесь.",[000000]I'll just wait here then.
C01-S02-MegaBadass_Phrase04,Rise,[000000]……,[000000]...,[000000]…,[000000]...,[000000]...,[000000]...,[000000]...
C01-S02-MegaBadass_Phrase05,Shine,[000000]看来超级坏蛋也坏不过那颗地雷。,[000000]Me parece que esa mina ha sido demasiada tela incluso para el Megamalote.,[000000]Cette mine est un coup dur pour le Grodur.,[000000]Quella mina spaccava troppo anche per Spaccadibrutto.,"[000000]Hmm, diese Mine war wohl zu krass für Megakrass.","[000000]Видимо, эта мина оказалась для Мегакрутыша слишком крутой.",[000000]Guess that landmine was too badass for the Megabadass.
C01-S02-MegaBadass_Phrase06,Shine,[000000]我们继续前进吧。我知道你很喜欢踩雷和吃子弹，不过你还是尽量减少死亡次数吧。,"[000000]Venga, a continuar. Ya sé que te mola caerte sobre minas y balas enemigas, pero a ver si podrías morirte lo menos posible, ¿vale?","[000000]Bien, continuons. Je sais que tu adores te jeter sur les mines et les balles ennemies, mais essaie de mourir le plus possible.","[000000]Allora andiamo avanti. So quanto ti piace lanciarti verso le mine e le pallottole nemiche, ma cerca di morire il meno che puoi.","[000000]Gehen wir weiter. Ich weiß, du schmeißt dich gerne auf Minen und in Kugeln, aber versuch bitte, so selten wie möglich zu sterben.","[000000]Ну что ж, пойдем дальше. Я знаю, что ты любишь кидаться на мины и под вражеские пули, но постарайся не умирать слишком часто.","[000000]Let's keep going then. I know you love throwing yourself at mines and bullets, but try to keep dying to a minimum."
C01-S04-Phrase01,Shine,[000000]这死亡动画也太慢了。像这样的爆炸慢镜头十年前就已经过时了。,[000000]Menuda animación de muerte más cutre. Eso de que tiembla antes de explotar está más visto que el café.,"[000000]Quelle animation de mort fadasse ! Le coup des tremblements accompagnés de l'explosion, c'est du déjà-vu.",[000000]Che animazione di morte da sfigati. Quella cosa di tremare ed esplodere ormai la fanno tutti.,[000000]Was für eine billige Sterbe-Animation. Dieses ganze Zittern-und-Explodieren wirkt vollkommen übertrieben.,[000000]И тут с анимацией смерти схалтурили. Этого «дрожания со взрывом» где только нет.,[000000]What a lazy death animation. That whole trembling-while-exploding thing was already old ten years ago.
C01-S04-Phrase02,Rise,[000000]我居然摧毁了巨型杀手机器人！我是怎么做到的？,[000000]¡No me creo que nos hayamos cargado a un robot asesino gigante! ¿Cómo es posible?,[000000]Je n'arrive pas à croire que nous venons de détruire un énorme robot tueur ! Comment est-ce possible ?,[000000]Non ci credo! Abbiamo appena distrutto un enorme robot assassino! Ma com'è possibile?,[000000]Wir haben echt einen riesigen Killerroboter besiegt! Wie ist das passiert?,[000000]Поверить не могу: мы только что победили огромного робота-убийцу! Как такое вообще возможно?,[000000]I can't believe we just destroyed a huge killer robot! How's that even possible?
C01-S04-Phrase03,Shine,[000000]这多亏了我们的指引者，小鬼。是他们告诉你怎么做的。好了……我们还得赶去宫殿。,"[000000]Ya nos gustaría, ya. Es porque nuestros Guías nos han mostrado el modo de hacerlo. Venga, chaval. Aún tenemos que llegar al palacio.","[000000]Ouais, si seulement ça avait été notre œuvre ! Nos Guides viennent de te montrer comment faire, petit. Allez… Nous devons encore atteindre le palais.","[000000]Eh, magari. Le nostre Guide ci hanno mostrato come si fa, ragazzino. Forza, dobbiamo ancora arrivare al palazzo.","[000000]Ja, scheint so. Unsere Lenker haben dir gerade gezeigt, wie sowas geht, Kleiner. Weiter geht's ... wir müssen immer noch in den Palast.","[000000]Ага, как бы не так. Это наши проводники показали нам, как это нужно делать, пацан. Пошли... Нам еще надо добраться до дворца.","[000000]Thanks to our guide, kid. They showed you how it's done. Come on...We still have to reach the palace."
C02-S01-MarineDialog01,Marine A,[000000]看来……用毒气还挺有趣的，是吧？,"[000000]Pasándolo bien con el gas venenoso, ¿eh?","[000000]Eheh… amusant le gaz empoisonné, hein ?","[000000]Beh, ci divertiamo con il gas velenoso, no?","[000000]Giftgas ist echt witzig, oder?","[000000]Ну что... здорово мы их ядовитым газом, верно?","[000000]So...fun with poison gas, is it?"
C02-S01-MarineDialog02,Marine B,[000000]现在这个时代你想快速征服世界就得用这个……不过对我而言，我还是更喜欢以前那种烧杀掳掠的方式，可惜我不是当头的。,"[000000]Es como se conquista mundos rapidito hoy en día... A mí me gustan más los disparos y la mutilación a la vieja escuela, pero a mí no me corresponde juzgar los métodos de nuestro Comandante.","[000000]C'est comme ça qu'on parvient à conquérir un monde rapidement de nos jours… Personnellement je préfère la bonne vieille fusillade et les démembrements, mais qui suis-je pour critiquer les méthodes de notre commandant ?","[000000]È così che si conquista un mondo alla svelta, al giorno d'oggi... Io continuo a preferire il buon vecchio spara-e-squarta, ma chi sono io per giudicare i metodi del comandante?","[000000]Die schnelle Art, Planeten zu unterwerfen ... Ich bin ja mehr für das gute alte Erschießen und Zerstückeln, aber der Kommandant weiß sicher, was er tut.","[000000]Вот так теперь по-быстрому завоевывают планеты... Мне лично больше нравится по-старому — со стрельбой и расчлененкой... но кто я такой, чтобы обсуждать методы Командира?","[000000]That's how you conquer a world fast nowadays...Me, I prefer old-school shooting and maiming, but who am I to judge?"
C02-S01-MarineDialog03,Marine A,[000000]是啊，我们的司令好像非常热衷于大屠杀的优化方案。所谓的敏捷方法还不是老的一套……,"[000000]Sí, al parecer gusta de optimizar los métodos de asesinato en masa. Creo que el último que usa se llama scrum o algo parecido...","[000000]Ouais, il a l'air d'avoir un penchant pour les exécutions de masse. Il est porté sur l'optimisation.","[000000]Già, gli piace ottimizzare le stragi, a quanto pare. È un fanatico delle metodologie agili...","[000000]Ja, er weiß wirklich, wie man Massenmord optimiert. Hat echt effiziente Methoden drauf ...","[000000]Да, он, похоже, сторонник оптимизации массового убийства. Обожает аджайл, скрам и все такое...","[000000]Yeah, the Commander's big on mass-murder optimization, it seems. Scrum methods, all that jazz..."
C02-S01-MarineDialog04,Marine B,[000000]对了，我们为什么要呆在炸药桶旁边闲聊啊？,"[000000]Por cierto, ¿cómo es que estamos aquí charlando de forma casual y relajada junto a unos bidones explosivos?","[000000]Au fait, pourquoi est-ce qu'on est là à discuter tranquillement à côté de barils explosifs ?","[000000]A proposito, perché siamo qui a chiacchierare tranquilli di fianco a dei barili di sostanze esplosive?","[000000]Sag mal, warum führen wir diese entspannte Unterhaltung beiläufig direkt neben leicht explosiven Fässer?","[000000]Кстати, почему это мы так спокойно и расслабленно болтаем, стоя рядом со взрывоопасными бочками?","[000000]By the way, why are we having a casual, relaxed conversation right next to a bunch of explosive barrels?"
C02-S01-MarineDialog05,Marine A,[000000]你的话让我想起另一件怪事……我们都能在太空中航行了，却还要用原始易燃的石油作为燃料。,[000000]Pues no sé. Es un poco raro que podamos viajar por el espacio pero sigamos usando combustibles fósiles.,"[000000]Je sais pas, mon pote… C'est étrange qu'on dépende encore de l'énergie fossile hautement inflammable alors qu'on peut voyager dans le temps.","[000000]Non saprei. È strano, però: viaggiamo nello spazio ma usiamo ancora combustibili fossili infiammabili.","[000000]Keine Ahnung ... Schon seltsam, dass unsere Raumschiffe immer noch leicht entzündliche fossile Brennstoffe verwenden.","[000000]Не знаю, чувак... Странно, что мы освоили космические путешествия, но до сих пор используем легковоспламеняющееся ископаемое топливо.","[000000]Beats me, man... It's also weird we can space travel but need primitive, highly flammable fossil fuels."
C02-S02-ShineEnterCaveDialog01,Shine,[000000]我觉得在外面和巨型运输机干架都要比呆在这墓地里舒服。,[000000]I think I was more comfortable outside fighting that huge dropship than on these catacombs. (no se usa),[000000]Je crois que j'étais plus à l'aise dehors en train de combattre cet énorme transporteur que sur ces catacombes. (no se usa),[000000]Credo mi piacesse di più star fuori a combattere contro quella nave enorme piuttosto che in queste catacombe. (no se usa),"[000000]Ich fand es angenehmer, draußen gegen dieses riesige Landungsschiff zu kämpfen als hier in diesen Katakomben zu sitzen.","[000000]Мне как-то спокойнее было сражаться снаружи с тем огромным десантным кораблем, чем пробираться через эти катакомбы. (no se usa)",[000000]I think I was more comfortable outside fighting that huge dropship than on these catacombs. (no se usa)
C02-S02-ShineEnterCaveDialog02,Shine,[000000]吧啦啦啦吧啦啦吧啦,[000000] BLAAAAABLAABLA (no se usa),[000000] BLAAAAABLAABLA (no se usa),[000000] BLAAAAABLAABLA (no se usa),[000000] BLAAAAA BLAA BLA,[000000] БЛАААААБЛААБЛА (no se usa),[000000] BLAAAAABLAABLA (no se usa)
C02-S02-ShineEnterCaveDialog03,Rise,[000000]小鬼，先别被吓得躲在角落里哭。我今早出家门时带了闪光灯配件。,"[000000]Don't go curl up in a corner and cry yet, kid. I got my torch accesory with me today when I left home this morning. (no se usa)","[000000]Ne va pas te cacher pour pleurer dans un coin tout de suite, petit. J'ai emporté ma torche en quittant la maison ce matin. (no se usa)","[000000]Non ti raggomitolare a piangere in un angolo, ragazzino. Quando sono uscito di casa stamattina ho preso con me l'accessorio torcia. (no se usa)","[000000]Setz dich nicht heulend in die Ecke, Kleiner. Ich hab heute morgen meinen Flammenwerfer mitgenommen.","[000000]Не спеши забиваться в угол и плакать, пацан. Я сегодня утром захватил с собой фонарик, перед тем как выйти из дома.","[000000]Don't go curl up in a corner and cry yet, kid. I got my flashlight accesory with me today when I left home this morning. (no se usa)"
C02-S02-ShineDialog01,Shine,[000000]看来那些太空兵人设计的这种气体不仅仅是为了杀人。,"[000000]Según parece, los Soldados del Espacio han desarrollado un gas venenoso que hace algo más que simplemente matar a la gente.",[000000]On dirait que ces Grunts ont élaboré un gaz empoisonné qui ne se contente pas de tuer les gens.,[000000]A quanto pare i Soldati spaziali hanno ideato un gas velenoso che non si limita a uccidere la gente.,"[000000]Scheint, als könnte das Giftgas dieser Weltraumgrunzer noch mehr als bloß Leute umbringen.","[000000]Похоже, Космические Солдафоны создали ядовитый газ, который не просто убивает людей.",[000000]Looks like those Space Grunts engineered a gas that does more than just killing people.
C02-S02-ShineDialog02,Shine,[000000]光是对平民使用化学武器都能给他们颁最佳混蛋奖了，现在还要把人变成嗜血的僵尸？,"[000000]O sea, si usas armas químicas contra civiles ya te ganas el premio a bastardo sanguinario del año, pero si encima los transformas en zombis comecerebros, apaga y vámonos...","[000000]Je veux dire, ils méritent le prix de la connerie pour avoir utilisé des armes chimiques sur des civils, mais voilà qu'ils les transforment aussi en zombies dévoreurs de cerveaux ?","[000000]Voglio dire, già ti danno il premio Bastardo dell'anno perché usi armi chimiche sui civili, c'era pure bisogno di tramutarli in zombi mangiacervelli?","[000000]Man kriegt sicher einen Schurken-Nobelpreis, wenn man Leute mit seinen Giftwaffen nicht bloß umbringt, sondern sie auch noch in hirnverschlingende Zombies verwandelt, oder?","[000000]Даже просто использовать химическое оружие на мирных жителях — откровенное скотство, но превращать их в зомби, пожирающих мозги?","[000000]I mean, you already earn Jerk of the Year award for using chemical weapons on civilians, but then transforming them into bloodthirsty zombies?"
C02-S02-ShineDialog03,Shine,[000000]真是污秽、肮脏、恶心、邪恶的『睿智』。,"[000000]Es de genios. Unos obscenos, repulsivos y asquerosos genios del mal de pura cepa.","[000000]Un génie du mal obscène, grossier et écœurant est à l'œuvre.","[000000]Un puro, osceno, sudicio, nauseante malefico piano geniale.","[000000]Ein widerliches, ekelhaftes, bösartiges, schleimiges Genie bei der Arbeit.","[000000]Сразу видно работу мерзкого, подлого, коварного злого гения.","[000000]Now that's pure, obscene, filthy, nauseating, evil genius at work."
C02-S02-ShineDialog04,Rise,[000000]这是错的。人与人之间怎么能做出这种事！？,[000000]Esta guerra... Esto es tremendo. ¿Cómo es posible que la gente haga este tipo de cosas?,[000000]Cette guerre… Quelque chose ne tourne pas rond. Comment peut-on faire de telles choses ?,[000000]Questa guerra... È sbagliata. Com'è possibile arrivare a tanto?,[000000]Dieser Krieg ... Das ist abscheulich. Wie kann jemand nur so etwas tun?,[000000]Эта война... Это неправильно. Как люди вообще на такое способны?,[000000]This isn't right. How can people do this to each other!?
C02-S02-ShineDialog05,Shine,[000000]战争就是不讲规则的游戏，小鬼。,"[000000]La guerra es el único juego donde no hay reglas, enano.","[000000]La guerre est le seul jeu qui n'a pas de règles, gamin.","[000000]La guerra è l'unico gioco senza regole, ragazzino.","[000000]Krieg ist das einzige Spiel ohne Regeln, Kleiner.","[000000]Война — это единственная игра, в которой нет правил, пацан.","[000000]War is the only game with no rules, kid."
C02-S03-GolemDialog01,Shine,[000000][FD852E]『死人才能通过』[-]。真讨厌！,"[000000][FD852E]""Los muertos pueden pasar""[-]. ¡Qué simpático!","[000000][FD852E]""La mort passera""[-]. Charmant !","[000000][FD852E]""Passino i morti""[-]. Carino!","[000000][FD852E]""Untote kreuzen""[-]. Großartig.",[000000][FD852E]«Пройдут только мертвые»[-]. Прелестно.,"[000000][FD852E]""Dead shall Pass""[-]. Charming!"
C02-S03-GolemDialog02,Rise,[000000]是啊。我不想过去。,[000000]Pues perfecto. Yo no tengo ganas de pasar.,[000000]Ok. Je n'ai pas très envie de passer dans ce cas.,[000000]Ok. Non ho tanta voglia di passare.,"[000000]Okay. Ich hab keine Lust, ihren Weg zu kreuzen.",[000000]Да уж. Что-то я не хочу туда идти.,"[000000]Fine. I don't feel like passing, then."
